device_id,host_rcpn,device_type,beacon_rcpn,St,P,E,I,V,Rb,T,O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,OA,OB,OC,OD,OE,OF,OG,timestamp_utc
183756435,183781523,device,183756454,8208,813,3913,206,1667956,8275,332,813,414,1952,0,0,259,0,1918,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:44
183781523,183781523,device,183756454,2080,4806,3913,-1227,8615373,8199,545,2458,4610,3688,6,3,42517,77,14756,114,64270,14159,6801,0,4096,26195,36864,0,2020-10-07 14:44
183756454,183781523,device,183756454,8192,0,0,0,0,1,397,0,8153,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:44
183756430,183781523,device,183756454,8208,1165,3912,294,1779713,8275,386,1165,755,1524,5,0,9855,7392,2781,2777,0,2777,2769,7072,22187,1241,2774,9854,2020-10-07 14:44
183756414,183781523,device,183756454,768,-1,3915,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19146,2020-10-07 14:44
183756431,183781523,device,183756454,8208,1132,3914,281,2028360,8275,346,1132,804,1371,0,8,135,330,33472,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:44
183756434,183781523,device,183756454,8208,916,3918,230,1749989,8275,320,916,453,1989,0,4263,36,50,78,0,17920,158,1000,4558,4,2902,2472,3456,2020-10-07 14:44
183756433,183781523,device,183756454,8208,1326,3914,331,2517252,8275,383,1326,880,1477,5,0,12968,11347,2676,2672,0,2672,2679,7087,21387,1271,2671,10985,2020-10-07 14:44
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,61421,0,32826,2,6024,32437,25719,30444,9284,32446,16240,0,9152,5,11,0,17908,2020-10-07 14:43
183756435,183781523,device,183756454,8208,840,3915,216,1667942,8275,333,840,414,2039,0,4337,938,46,66,0,17920,163,1000,5446,4,0,0,3456,2020-10-07 14:43
